5375 [[54.8143, 9431.500000622456], [54.7011, 9433.311868088751], [54.5799, 9435.277803192768], [54.4506, 9437.403020621605], [54.3098, 9439.75083482711], [54.1578, 9442.32695403523], [53.9933, 9445.16464247478], [53.8153, 9448.291299447968], [53.6214, 9451.770489556016], [53.4055, 9455.732537961441], [53.1686, 9460.193290513016], [52.9068, 9465.262002545765], [52.6136, 9471.118317548082], [52.2842, 9477.936706822886], [51.9178, 9485.828919213352], [51.4914, 9495.441467764951], [50.5385, 9506.540627376631], [49.1938, 9519.39360549238], [47.5357, 9535.042855758149], [45.4272, 9554.40261976879], [42.5346, 9578.721256084724], [38.3098, 9608.723184692995], [32.264, 9643.728823233192], [23.9271, 9684.927632604422], [12.9924, 11132.080486732584]]
3725 [[54.8143, 9431.500000316173], [54.7019, 9433.29877109109], [54.582, 9435.24349509582], [54.4547, 9437.335371255], [54.3125, 9439.705352161647], [54.1612, 9442.268675410265], [53.9997, 9445.052258650208], [53.8216, 9448.179811225218], [53.627, 9451.669542595362], [53.4137, 9455.581794566573], [53.1768, 9460.037034804747], [52.9156, 9465.089289957856], [52.6244, 9470.899637233873], [52.2984, 9477.638348183576], [51.9296, 9485.569974908489], [51.505, 9495.126544183046], [50.6123, 9505.813877171006], [49.2688, 9518.910507140527], [47.5831, 9534.63894837244], [45.4371, 9554.191105391688], [42.5369, 9578.567697934071], [38.3543, 9608.517482343426], [32.2387, 9643.74685471953], [23.9592, 9684.77345268325], [13.1742, 10130.341884891419]]
2950 [[54.8143, 9431.500070870055], [54.7062, 9433.229322159777], [54.5838, 9435.21298475888], [54.4545, 9437.33755006277], [54.3264, 9439.472742148084], [54.1835, 9441.88769499095], [54.0033, 9444.989746409974], [53.8286, 9448.056947043257], [53.638, 9451.469967862082], [53.4242, 9455.385332222384], [53.1873, 9459.835736187117], [52.9425, 9464.562096764532], [52.6383, 9470.618753363935], [52.3106, 9477.380310561117], [51.9626, 9484.846800407406], [51.5372, 9494.38602285703], [50.6344, 9505.675907300927], [49.3056, 9518.343596122268], [47.6578, 9534.14972885616], [45.5811, 9553.312117110892], [42.6771, 9577.394621241765], [38.5675, 9607.205091719143], [32.7021, 9642.090948167299], [24.188, 9683.57976877834], [13.8059, 10062.545549082286]]
2925 [[54.814, 9431.503952198076], [54.702, 9433.296901547716], [54.5816, 9435.248975003584], [54.4536, 9437.352624380681], [54.3214, 9439.555974263458], [54.1632, 9442.234949518492], [53.9963, 9445.112445264413], [53.8183, 9448.238143726852], [53.6263, 9451.681791571127], [53.4118, 9455.615538230113], [53.1745, 9460.080528732713], [52.9128, 9465.14271554844], [52.626, 9470.867541624773], [52.2932, 9477.747525112996], [51.9271, 9485.623455692914], [51.5036, 9495.15860325326], [50.6247, 9505.943888685211], [49.2866, 9518.502265248966], [47.6233, 9534.221084661687], [45.4544, 9554.050433604434], [42.5706, 9578.381038907975], [38.5155, 9608.027011744125], [32.4523, 9643.185688792888], [24.0183, 9684.436959217095], [13.1611, 10147.40164644363]]
3600 [[54.8143, 9431.500117750567], [54.7043, 9433.260050848401], [54.585, 9435.194510118941], [54.4581, 9437.278742956518], [54.3255, 9439.488086662512], [54.1855, 9441.854714995998], [54.0118, 9444.842056056119], [53.8362, 9447.921339692115], [53.6466, 9451.313985267774], [53.4368, 9455.153572228408], [53.205, 9459.499298577042], [52.9461, 9464.491517240649], [52.6596, 9470.186707390876], [52.3367, 9476.833388237012], [51.9751, 9484.57308957661], [51.5473, 9494.154450615084], [50.7185, 9505.014685533204], [49.454, 9517.610217977573], [47.7968, 9533.163736238826], [45.7089, 9551.86138727225], [42.8993, 9575.623870075498], [39.0351, 9606.929160753665], [32.8488, 9640.993139531365], [24.552, 9681.616327581], [14.3136, 9925.742318631183]]
2550 [[54.8143, 9431.50003498555], [54.7028, 9433.284118234504], [54.5824, 9435.236853129834], [54.4548, 9437.333655826575], [54.3225, 9439.537026745022], [54.1576, 9442.33147799706], [53.9945, 9445.14311604765], [53.8142, 9448.311135706506], [53.6272, 9451.665562032995], [53.4044, 9455.754107370214], [53.1687, 9460.19128113031], [52.9075, 9465.247006238558], [52.615, 9471.08948769302], [52.2831, 9477.961087887856], [51.9096, 9486.009111523237], [51.4845, 9495.59965211291], [50.5774, 9506.241202822852], [49.219, 9519.184873594457], [47.5572, 9534.994952929042], [45.3854, 9554.664278605664], [42.4763, 9579.05025125479], [38.4161, 9609.553809648658], [32.3663, 9644.199745905767], [23.8624, 9685.261321000393], [13.1869, 10617.833458244286]]
3725 [[54.8143, 9431.500066506009], [54.7014, 9433.306405929232], [54.5814, 9435.252723956894], [54.4559, 9437.315153132444], [54.3113, 9439.72518902631], [54.1599, 9442.291884191829], [53.9987, 9445.070478755188], [53.8187, 9448.231322771915], [53.6252, 9451.701075313233], [53.4095, 9455.658439383371], [53.1742, 9460.086828320462], [52.9138, 9465.122930658501], [52.6228, 9470.932251852819], [52.2958, 9477.693008400094], [51.9241, 9485.691124104977], [51.5054, 9495.11784753808], [50.5643, 9506.328195548364], [49.221, 9519.13916382247], [47.5832, 9534.594099637618], [45.4403, 9554.184124077668], [42.5806, 9578.346822458634], [38.2836, 9608.862858217954], [32.4209, 9643.441352472406], [24.0824, 9684.065996328995], [13.1512, 10161.84606213164]]
4550 [[54.8143, 9431.50002867715], [54.7041, 9433.264313112248], [54.585, 9435.193631644117], [54.4594, 9437.25624691521], [54.324, 9439.512382592693], [54.1734, 9442.06093551751], [54.0105, 9444.864591629499], [53.8366, 9447.914830665677], [53.6444, 9451.353724221992], [53.4351, 9455.18344805062], [53.2019, 9459.55973610409], [52.9462, 9464.48925821957], [52.6586, 9470.206866969529], [52.3417, 9476.727709718514], [51.9658, 9484.775604695711], [51.5504, 9494.083727557761], [50.769, 9505.096427537506], [49.4312, 9517.749812828346], [47.7655, 9532.913717831552], [45.6972, 9552.276571487197], [42.8829, 9576.284143642333], [38.8197, 9605.618949238256], [32.7626, 9641.380224556127], [24.7675, 9684.724925790053], [13.9106, 12063.917378192426]]
3550 [[54.8142, 9431.50069703724], [54.7015, 9433.305998727132], [54.5813, 9435.25498231221], [54.4507, 9437.400225860436], [54.3131, 9439.696057979301], [54.1605, 9442.280162873574], [54.0002, 9445.044754813973], [53.8194, 9448.218756676892], [53.6227, 9451.746612892353], [53.4112, 9455.627835021714], [53.1735, 9460.098547013313], [52.9127, 9465.14486873782], [52.6208, 9470.97237082428], [52.2966, 9477.67663733419], [51.9447, 9485.23722907428], [51.4961, 9495.331695962746], [50.5883, 9506.047702319534], [49.3126, 9518.495630414254], [47.5693, 9534.72876177778], [45.4502, 9554.175727203641], [42.5536, 9578.485241545222], [38.4993, 9608.503844325505], [31.892, 9647.361105298532], [24.1514, 9685.224677863656], [13.1247, 11417.151760953107]]
3975 [[54.8143, 9431.500001198405], [54.7018, 9433.30045348606], [54.58, 9435.27543858536], [54.4524, 9437.373335422382], [54.3109, 9439.732877329725], [54.1633, 9442.233197122752], [53.9962, 9445.112963694533], [53.8171, 9448.26077084268], [53.6199, 9451.798341838827], [53.4111, 9455.629971092421], [53.17, 9460.166235842267], [52.9077, 9465.243195852043], [52.6158, 9471.073505194589], [52.2881, 9477.85399591864], [51.9122, 9485.952828655776], [51.4923, 9495.420568117896], [50.5986, 9506.66841235965], [49.203, 9519.26711652357], [47.6498, 9535.133798420302], [45.4239, 9554.328298138546], [42.493, 9579.133116334511], [38.3669, 9608.834082875279], [32.2641, 9643.62665586319], [23.952, 9684.795202694277], [13.9223, 12087.06261207926]]
