9200 [[442.66, 9281.53600785297], [367.507, 9296.54260316204], [325.839, 9309.198932918453], [297.933, 9321.05461285016], [276.909, 9332.672910829471], [260.461, 9344.318847464885], [246.633, 9356.648443477607], [234.573, 9369.382308410364], [224.193, 9383.00544007337], [214.968, 9397.768634448705], [206.512, 9413.906771645341], [198.919, 9431.954346996908], [191.036, 9451.259018192142], [184.062, 9473.824341833502], [177.245, 9499.238176163502], [170.717, 9529.430461295235], [164.712, 9568.199227223025], [158.902, 9615.56405077991], [139.573, 9637.234303911466], [123.602, 9670.93630320591], [111.234, 9729.327649222205], [97.1248, 9806.209465009224], [73.4476, 9857.04013994599], [47.9187, 9948.737124802521], [28.3825, 10550.84370452472]]
3350 [[441.829, 9281.7273519666], [372.812, 9296.264244583866], [332.131, 9308.276868382214], [300.921, 9321.11420752895], [278.069, 9332.28619118229], [263.032, 9343.68995745416], [248.016, 9355.639464437716], [236.73, 9369.018516257596], [226.436, 9382.055599668012], [215.66, 9396.41083074088], [207.488, 9412.462595191646], [199.622, 9429.255700092877], [192.466, 9449.627197791564], [185.869, 9471.610852676999], [178.046, 9495.957453775956], [173.432, 9528.615913576436], [165.59, 9563.598937523535], [159.124, 9608.820087369137], [142.983, 9641.31309900477], [126.705, 9672.983171390444], [113.253, 9714.858819524265], [100.784, 9773.465850856983], [83.6328, 9931.434417097134], [52.9276, 10005.185788535107], [26.7637, 10960.758925548163]]
10150 [[442.82, 9281.503358172913], [367.167, 9296.645818955287], [325.727, 9309.381719804602], [297.616, 9321.241715768829], [277.128, 9332.920949194495], [259.77, 9344.900143133955], [245.925, 9356.977937665772], [234.21, 9369.917296300626], [223.663, 9383.75568855592], [214.408, 9398.567443816624], [206.047, 9414.983329185685], [198.253, 9433.182621629743], [190.697, 9453.37908815942], [183.405, 9475.309235849423], [176.436, 9502.46275762402], [170.006, 9533.221128230916], [163.988, 9571.741175233643], [158.042, 9618.516643511002], [138.645, 9641.755337082079], [122.656, 9676.597881546419], [108.459, 9727.821424217309], [88.4314, 9807.464727895724], [69.4319, 9851.642524367491], [46.9014, 9962.36373800358], [19.1808, 10546.721447909864]]
5400 [[438.083, 9282.241552045272], [369.198, 9295.964388353837], [325.621, 9309.24399688156], [299.549, 9321.419831158522], [278.424, 9332.547325135276], [260.564, 9344.637302990826], [246.235, 9356.721530495048], [234.466, 9369.575009368797], [224.313, 9383.44465724201], [214.699, 9398.05234412743], [206.295, 9414.22030333694], [198.379, 9431.988003635002], [191.498, 9451.690227517143], [184.033, 9474.930957841883], [177.129, 9500.104675850982], [171.105, 9532.794624794979], [164.636, 9566.566015788536], [158.599, 9615.800738229864], [135.707, 9654.59046952729], [125.918, 9664.548298655802], [110.598, 9721.42870971326], [96.4416, 9807.075088422698], [73.7419, 9887.732005379043], [52.3715, 9995.04582601796], [22.6986, 10360.960295750827]]
8475 [[442.829, 9281.501662016486], [366.458, 9296.629359949318], [325.388, 9309.357964392031], [297.353, 9321.320795076632], [276.349, 9333.075052620443], [259.659, 9344.938962648741], [245.82, 9357.204521685075], [233.948, 9370.128176689948], [223.472, 9383.981879980856], [214.226, 9398.928451101003], [205.761, 9415.259688512306], [198.176, 9433.368437259374], [190.686, 9453.116343620824], [183.223, 9475.990456018759], [176.42, 9502.678255942603], [170.255, 9534.234766706026], [163.779, 9571.525673890286], [155.084, 9613.91354857255], [137.737, 9638.451073196587], [121.728, 9673.80663685849], [107.476, 9725.23887404615], [94.1923, 9801.567566378419], [71.0495, 9861.250109587685], [47.77, 9951.400547128678], [18.5376, 10720.222261851703]]
7300 [[442.828, 9281.507718992989], [368.223, 9296.535687486998], [325.689, 9309.287939209484], [297.645, 9321.141121781822], [276.617, 9332.862817739826], [260.122, 9344.601888301906], [246.672, 9356.30866377681], [234.402, 9369.498627512343], [224.025, 9383.464387544003], [214.756, 9398.11862862406], [206.191, 9414.379400384258], [198.33, 9432.225723629892], [191.066, 9452.33908131506], [184.209, 9475.133176090687], [176.989, 9501.19935327024], [170.371, 9531.677725775578], [164.672, 9567.99804502849], [158.652, 9616.860953766776], [146.937, 9661.865177376822], [129.698, 9701.691667529565], [111.801, 9744.64390745629], [101.708, 9833.432235336053], [70.4344, 9940.75375214579], [50.8289, 9987.536286092973], [20.0732, 10525.250076485929]]
3250 [[442.592, 9281.557848351553], [370.542, 9295.667351235525], [329.267, 9307.984818495239], [302.52, 9319.171332767217], [280.527, 9330.584326091814], [264.225, 9341.58467476689], [250.621, 9352.751770230114], [239.16, 9365.086411539787], [227.892, 9377.79563099193], [218.645, 9391.558285051298], [210.113, 9406.638756542461], [202.396, 9422.908204261461], [194.973, 9441.08568298346], [187.644, 9461.56220124242], [180.712, 9485.23783933869], [174.632, 9512.312700151942], [167.665, 9546.547888008126], [162.266, 9587.257967650883], [147.404, 9622.769137658704], [130.721, 9652.436373946255], [116.85, 9689.289118249393], [100.704, 9762.202646322043], [89.2996, 9871.90475682553], [65.8069, 9988.31980770438], [35.2294, 10310.565152394454]]
9025 [[442.827, 9281.503143728978], [367.331, 9296.48812491085], [325.983, 9309.136496412339], [297.985, 9320.959607630211], [276.841, 9332.707575811915], [260.349, 9344.586000462634], [246.233, 9356.790498569555], [234.71, 9369.308862576838], [224.081, 9383.043354481966], [214.81, 9397.851925844438], [206.421, 9414.11959560813], [198.547, 9431.509106299553], [191.09, 9451.802867283444], [184.186, 9474.26912758916], [177.251, 9499.98558897861], [170.598, 9530.34442661135], [164.192, 9568.61620510712], [155.243, 9612.999443450557], [139.403, 9637.198941356522], [123.047, 9672.571960608471], [108.853, 9721.15574927928], [94.9964, 9794.362724736799], [71.5729, 9843.190159889804], [47.8256, 9945.189897334265], [22.2698, 10279.873868202118]]
6050 [[442.65, 9281.581529455936], [366.757, 9296.573190301957], [326.179, 9309.085464487242], [297.932, 9321.00981724802], [277.155, 9332.573843861821], [260.702, 9344.071284675443], [246.879, 9356.81314414369], [234.721, 9369.435764814352], [224.601, 9383.206348331902], [215.419, 9397.215755939587], [206.584, 9413.916334996518], [198.529, 9431.546733891695], [191.097, 9451.244479453839], [184.013, 9473.177792221228], [177.351, 9498.552704504968], [170.67, 9530.085284925193], [164.528, 9567.461993835992], [158.605, 9614.115611696314], [146.058, 9651.66168184174], [127.508, 9682.976577214837], [111.727, 9725.209196682736], [91.9821, 9808.160515269561], [72.4533, 9839.264346543252], [49.5176, 9948.410374533267], [21.2641, 10359.598274259452]]
7400 [[442.737, 9281.537331351745], [367.83, 9296.353767513296], [327.091, 9308.756066886539], [299.352, 9320.395208590655], [278.408, 9331.78905766886], [261.904, 9343.162470705589], [247.543, 9355.56037205932], [236.45, 9367.628237211844], [225.323, 9381.288860324586], [216.361, 9395.213714927353], [207.825, 9411.291721841835], [200.028, 9428.138733813415], [192.074, 9448.32185437803], [185.233, 9469.02134904053], [178.476, 9494.486145732339], [171.896, 9524.093677551245], [165.862, 9558.632612772846], [159.811, 9604.230015595573], [142.493, 9632.506192219395], [127.671, 9661.370605443984], [112.645, 9710.666487871264], [98.8052, 9779.394998449607], [77.6143, 9853.618491034638], [51.2875, 9937.699202424745], [26.6446, 10162.069912746641]]
3950 [[442.436, 9281.573962851618], [369.228, 9296.29095919937], [327.338, 9308.621116930299], [300.235, 9320.215795777778], [280.263, 9331.710228783262], [262.212, 9342.882439841165], [248.528, 9354.580745869034], [236.694, 9366.93671871173], [226.352, 9379.814818018718], [216.982, 9394.117322930897], [208.7, 9409.54484360453], [200.653, 9426.446252031536], [193.258, 9445.21221055844], [186.128, 9466.600600974543], [179.72, 9491.428973295808], [172.914, 9519.022548243684], [166.319, 9555.23666281487], [161.241, 9598.609499435608], [144.663, 9628.74309925912], [128.685, 9658.542385292114], [114.695, 9703.877536504388], [99.4408, 9772.091199040831], [75.8413, 9840.64699361893], [55.9731, 9905.22433190446], [29.8478, 10112.672945185474]]
10200 [[442.841, 9281.501193841406], [367.322, 9296.452945249215], [327.793, 9309.108572219175], [298.521, 9320.93841989307], [277.272, 9332.597996057848], [260.391, 9344.318234523653], [246.509, 9356.450821804041], [234.897, 9369.258475425258], [224.591, 9382.97000629764], [215.083, 9397.404197593276], [206.66, 9413.62864212167], [198.682, 9431.139506053421], [191.232, 9450.5909245061], [184.118, 9473.352315595701], [177.228, 9499.28847069513], [171.153, 9529.953142450595], [164.918, 9566.906934458972], [158.315, 9611.742229733516], [139.812, 9637.100628447988], [124.693, 9668.965663475452], [107.712, 9727.351407755326], [95.8282, 9800.186064267202], [75.0881, 9915.874241002175], [45.9219, 9985.901093999186], [21.5915, 10327.247979227934]]
7925 [[442.832, 9281.503136758782], [366.897, 9296.602457478843], [325.502, 9309.333762292887], [298.069, 9321.039685491505], [276.459, 9332.963866014858], [259.857, 9344.75582247018], [245.941, 9357.01905106683], [234.1, 9369.815383252582], [223.798, 9383.567021851108], [214.38, 9398.62580000918], [205.972, 9414.89170885323], [198.015, 9432.933126215084], [190.477, 9452.858637925807], [183.367, 9475.57636515507], [176.591, 9501.927968165071], [170.265, 9532.765260087717], [163.894, 9570.851143525628], [158.024, 9618.621497448234], [141.94, 9639.234325172674], [124.204, 9679.899728095552], [109.073, 9731.310835838758], [93.7118, 9805.086574545203], [70.9449, 9854.7466679062], [48.0354, 9951.530095380956], [19.1647, 10667.357758859063]]
7400 [[442.832, 9281.504743471594], [367.285, 9296.539852419779], [325.914, 9309.10707668993], [297.866, 9321.10045797946], [277.283, 9332.730338026386], [260.465, 9344.450903839339], [246.403, 9356.569534462913], [234.369, 9369.510855562663], [224.148, 9383.259355820666], [214.766, 9397.967409310106], [206.367, 9414.182417515296], [198.616, 9432.08786393369], [190.817, 9451.708489048198], [183.796, 9474.537527571925], [177.131, 9500.731073953184], [170.668, 9530.490950535828], [164.232, 9568.460733316906], [158.553, 9615.552785147054], [146.58, 9661.705437366949], [130.912, 9672.755787468026], [114.361, 9749.044893720426], [94.9178, 9804.399792384791], [71.7625, 9846.052009042276], [47.9167, 9981.561925219077], [21.0197, 10416.464824745415]]
7875 [[442.831, 9281.509553703243], [367.754, 9296.553700805187], [326.395, 9308.93594318817], [298.16, 9321.221779117692], [277.057, 9332.601515245], [260.9, 9344.26211589507], [246.319, 9356.703159393908], [234.285, 9369.646834447654], [224.574, 9383.180606585607], [214.727, 9398.030323791729], [206.36, 9414.217556005136], [198.33, 9432.024848825502], [190.848, 9451.945712931563], [183.671, 9474.374178956281], [177.269, 9498.995551529339], [170.498, 9531.54521969716], [164.886, 9569.928997354895], [156.275, 9612.266705507618], [139.008, 9637.991371429125], [122.647, 9673.93472433474], [109.477, 9727.763865139379], [94.5012, 9799.830395482004], [72.425, 9853.189461060469], [47.8243, 9950.452565599164], [21.7946, 10305.761427650728]]
